12	98	131
12	132	175
12	176	220
12	221	262
12	264	305
12	306	344
12	346	390
12	392	442
12	444	484
12	499	517
12	529	554
12	555	577
12	578	595
12	596	613
12	615	630
12	631	647
12	649	663
12	665	686
12	688	715
12	717	744
12	748	770
12	771	785
12	787	801
12	802	816
12	819	831
12	832	846
12	847	860
13	60	94
13	95	149
13	150	201
13	203	257
13	259	311
13	313	330
13	331	366
13	368	418
13	420	474
13	476	519
13	521	564
13	566	604
13	606	638
13	643	657
13	658	673
13	676	712
13	715	742
13	746	772
13	776	797
13	808	821
13	830	847
13	854	874
13	876	890
14	107	138
14	149	163
14	164	197
14	198	227
14	228	259
14	260	288
14	289	315
14	317	339
14	341	365
14	366	399
14	400	417
14	418	469
14	470	527
14	529	576
14	578	631
14	679	721
14	722	763
14	765	794
14	795	825
14	826	875
14	877	926
14	928	940
14	941	956
14	958	972
14	973	990
14	992	1007
14	1008	1023
14	1025	1056
14	1070	1097
14	1101	1120
15	75	90
15	92	125
15	126	149
15	150	174
15	175	201
15	202	229
15	231	252
15	253	309
15	311	379
15	381	424
15	427	470
15	477	501
15	502	521
15	523	539
15	540	553
15	554	581
15	583	603
15	604	624
15	626	647
11	118	160
11	161	198
11	200	216
11	217	235
11	236	269
11	271	302
11	304	341
11	342	375
11	377	413
11	414	426
11	428	446
11	447	492
11	493	515
11	516	535
11	537	556
11	558	575
11	577	597
11	599	617
11	619	638
11	639	670
